model_key,model_label,fold,best_params,accuracy,f1,recall,precision
all_features,All features,1,{'nb__var_smoothing': 1e-06},0.6804018040180402,0.573927302541678,0.8997429305912596,0.42134831460674155
all_features,All features,2,{'nb__var_smoothing': 1e-06},0.6789667896678967,0.5753796095444685,0.9091688089117395,0.4208647362157874
all_features,All features,3,{'nb__var_smoothing': 1e-06},0.6775317753177532,0.573597180807807,0.9065981148243359,0.4195083267248216
all_features,All features,4,{'nb__var_smoothing': 1e-06},0.6910619106191062,0.5876880984952121,0.9203084832904884,0.4316720257234727
all_features,All features,5,{'nb__var_smoothing': 1e-06},0.6931119311193112,0.587262200165426,0.9118150684931506,0.43310288735258234
all_features,All features,6,{'nb__var_smoothing': 1e-06},0.6818368183681837,0.579175704989154,0.9143835616438356,0.4238095238095238
all_features,All features,7,{'nb__var_smoothing': 1e-06},0.6968019680196802,0.5885952712100139,0.9058219178082192,0.4359291306139267
all_features,All features,8,{'nb__var_smoothing': 1e-06},0.6965969659696597,0.5904814609850582,0.913527397260274,0.4362224039247751
all_features,All features,9,{'nb__var_smoothing': 1e-06},0.6824518245182452,0.5782738905526817,0.9092465753424658,0.4239520958083832
all_features,All features,10,{'nb__var_smoothing': 1e-06},0.6947519475194752,0.5878771104345419,0.9092465753424658,0.4343558282208589
pca,PCA,1,"{'nb__var_smoothing': 1e-09, 'pca__n_components': 20}",0.8140631406314063,0.5818349469801752,0.5407026563838904,0.6297405189620758
pca,PCA,2,"{'nb__var_smoothing': 1e-09, 'pca__n_components': 20}",0.8122181221812218,0.5843920145190563,0.5518423307626392,0.6210221793635486
pca,PCA,3,"{'nb__var_smoothing': 1e-09, 'pca__n_components': 20}",0.8040180401804018,0.5642661804922516,0.5304198800342759,0.6027263875365141
pca,PCA,4,"{'nb__var_smoothing': 1e-09, 'pca__n_components': 20}",0.8228782287822878,0.6097560975609756,0.5784061696658098,0.6446991404011462
pca,PCA,5,"{'nb__var_smoothing': 1e-09, 'pca__n_components': 20}",0.8128331283312833,0.587437867148667,0.5565068493150684,0.6220095693779905
pca,PCA,6,"{'nb__var_smoothing': 1e-09, 'pca__n_components': 20}",0.8161131611316114,0.5979381443298969,0.5710616438356164,0.6274694261523989
pca,PCA,7,"{'nb__var_smoothing': 1e-06, 'pca__n_components': 20}",0.8183681836818368,0.6009009009009009,0.5710616438356164,0.6340304182509505
pca,PCA,8,"{'nb__var_smoothing': 1e-09, 'pca__n_components': 20}",0.8198031980319803,0.606359158083296,0.5796232876712328,0.6356807511737089
pca,PCA,9,"{'nb__var_smoothing': 1e-09, 'pca__n_components': 20}",0.8179581795817958,0.5974614687216682,0.5642123287671232,0.6348747591522158
pca,PCA,10,"{'nb__var_smoothing': 1e-09, 'pca__n_components': 20}",0.8202132021320213,0.602628001812415,0.5693493150684932,0.6400384985563041
