age,workclass,education,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,capital-balance,income
25,Private,dropout,NotMarried,Machine-op-inspct,Own-child,Black,1,40,United-States,0,0
38,Private,HighGrad,Married,Farming-fishing,Husband,White,1,50,United-States,0,0
28,Local-gov,CommunityCollege,Married,Protective-serv,Husband,White,1,40,United-States,0,1
44,Private,CommunityCollege,Married,Machine-op-inspct,Husband,Black,1,40,United-States,7688,1
34,Private,dropout,NotMarried,Other-service,Not-in-family,White,1,30,United-States,0,0
63,Self-emp-not-inc,Masters,Married,Prof-specialty,Husband,White,1,32,United-States,3103,1
24,Private,CommunityCollege,NotMarried,Other-service,Unmarried,White,0,40,United-States,0,0
55,Private,dropout,Married,Craft-repair,Husband,White,1,10,United-States,0,0
65,Private,HighGrad,Married,Machine-op-inspct,Husband,White,1,40,United-States,6418,1
36,Federal-gov,Bachelors,Married,Adm-clerical,Husband,White,1,40,United-States,0,0
26,Private,HighGrad,NotMarried,Adm-clerical,Not-in-family,White,0,39,United-States,0,0
48,Private,HighGrad,Married,Machine-op-inspct,Husband,White,1,48,United-States,3103,1
43,Private,Masters,Married,Exec-managerial,Husband,White,1,50,United-States,0,1
20,State-gov,CommunityCollege,NotMarried,Other-service,Own-child,White,1,25,United-States,0,0
43,Private,HighGrad,Married,Adm-clerical,Wife,White,0,30,United-States,0,0
37,Private,HighGrad,Widowed,Machine-op-inspct,Unmarried,White,0,20,United-States,0,0
34,Private,Bachelors,Married,Tech-support,Husband,White,1,47,United-States,0,1
34,Private,CommunityCollege,NotMarried,Other-service,Own-child,Black,0,35,United-States,0,0
25,Private,Bachelors,NotMarried,Prof-specialty,Not-in-family,White,1,43,Outros,0,0
25,Private,Bachelors,Married,Prof-specialty,Husband,White,1,40,United-States,0,0
45,Self-emp-not-inc,HighGrad,Married,Craft-repair,Husband,White,1,90,United-States,7298,1
22,Private,HighGrad,NotMarried,Adm-clerical,Own-child,White,1,20,United-States,0,0
23,Private,HighGrad,Separated,Machine-op-inspct,Unmarried,Black,1,54,United-States,0,0
54,Private,HighGrad,Married,Craft-repair,Husband,White,1,35,United-States,0,0
32,Self-emp-not-inc,CommunityCollege,NotMarried,Prof-specialty,Not-in-family,White,1,60,United-States,0,0
46,State-gov,CommunityCollege,Married,Exec-managerial,Husband,Black,1,38,United-States,7688,1
56,Self-emp-not-inc,dropout,Widowed,Other-service,Unmarried,White,0,50,United-States,0,0
24,Self-emp-not-inc,Bachelors,NotMarried,Sales,Not-in-family,White,1,50,United-States,0,0
23,Local-gov,CommunityCollege,Married,Protective-serv,Husband,White,1,40,United-States,0,0
26,Private,HighGrad,Separated,Exec-managerial,Unmarried,White,0,40,United-States,0,0
36,Local-gov,Bachelors,Married,Prof-specialty,Husband,White,1,40,United-States,0,1
22,Private,dropout,NotMarried,Priv-house-serv,Not-in-family,White,1,50,Outros,0,0
17,Private,dropout,NotMarried,Machine-op-inspct,Not-in-family,White,1,40,United-States,0,0
20,Private,HighGrad,NotMarried,Craft-repair,Own-child,White,1,40,United-States,0,0
65,Private,Masters,Married,Prof-specialty,Husband,White,1,50,United-States,0,1
44,Self-emp-inc,CommunityCollege,Married,Sales,Husband,White,1,45,United-States,0,1
36,Private,HighGrad,Married,Farming-fishing,Husband,White,1,40,United-States,0,0
29,Private,dropout,Married,Other-service,Husband,White,1,40,United-States,0,0
20,State-gov,CommunityCollege,NotMarried,Farming-fishing,Own-child,White,1,32,United-States,0,0
28,Private,CommunityCollege,Married,Prof-specialty,Wife,White,0,36,United-States,0,1
39,Private,dropout,Married,Craft-repair,Husband,White,1,40,Mexico,0,0
54,Private,CommunityCollege,Married,Transport-moving,Husband,White,1,50,United-States,3908,0
52,Private,dropout,Separated,Priv-house-serv,Not-in-family,Black,0,18,United-States,0,0
56,Self-emp-inc,HighGrad,Widowed,Exec-managerial,Not-in-family,White,0,50,United-States,0,0
18,Private,CommunityCollege,NotMarried,Other-service,Own-child,White,1,20,United-States,0,0
39,Private,HighGrad,Separated,Handlers-cleaners,Own-child,Black,1,40,United-States,0,0
21,Private,CommunityCollege,NotMarried,Other-service,Own-child,White,0,24,United-States,-1721,0
22,Private,HighGrad,NotMarried,Other-service,Not-in-family,White,1,60,United-States,14084,1
38,Private,dropout,NotMarried,Exec-managerial,Not-in-family,White,1,54,Mexico,0,0
21,Private,CommunityCollege,NotMarried,Adm-clerical,Own-child,White,0,40,United-States,0,0
63,Private,HighGrad,Married,Craft-repair,Husband,White,1,40,United-States,0,0
34,Local-gov,Bachelors,Married,Exec-managerial,Husband,White,1,50,United-States,3103,1
42,Self-emp-inc,HighGrad,Married,Exec-managerial,Husband,White,1,50,United-States,5178,1
33,Private,HighGrad,Married,Handlers-cleaners,Husband,White,1,40,United-States,0,0
30,Private,Bachelors,NotMarried,Exec-managerial,Not-in-family,White,0,50,United-States,0,0
39,Private,CommunityCollege,Separated,Sales,Not-in-family,White,1,40,United-States,0,0
26,Private,Masters,NotMarried,Exec-managerial,Not-in-family,White,0,40,United-States,0,0
33,Private,HighGrad,NotMarried,Machine-op-inspct,Own-child,White,0,40,United-States,0,0
47,Local-gov,HighGrad,Separated,Adm-clerical,Not-in-family,White,0,40,United-States,0,0
41,Self-emp-inc,CommunityCollege,Married,Craft-repair,Husband,White,1,60,United-States,15024,1
